pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,marine data,WD1,water surface ice observation,growler bergy bit presence code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the existence of growler and/or bergy bits.,A specific domain comprised of the ASCII characters 0: Not present 1: Present 2: Unknown 9: Missing,"{""0"":""Not present"",""1"":""Present"",""2"":""Unknown"",""9"":""Missing""}"
NA,additional-data section,marine data,WD1,water surface ice observation,growler bergy bit quantity,3,000,0,998,998,NA,NA,NA,999,999,The quantity of growler and bergy bits observed in the area.,A general domain comprised of the ASCII characters 0-9. 999 = Missing,"{""999"":""Missing""}"
NA,additional-data section,marine data,WD1,water surface ice observation,iceberg quantity,3,000,0,998,998,NA,NA,NA,999,999,The quantity of icebergs observed in the area.,A general domain comprised of the ASCII characters 0-9. 999 = Missing,"{""999"":""Missing""}"
NA,additional-data section,marine data,WD1,water surface ice observation,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported WATER-SURFACE-ICE-OBSERVATION.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 117 9 = Passed gross limits check if element is present,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous 117"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the availability of a WATER-SURFACE-ICE-HISTORICAL-OBSERVATION.,A specific domain comprised of the characters in the ASCII character set. WG1: An indicator of the occurrence of the following data item: OCEAN-ICE-OBSERVATION edge bearing code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION edge distance dimension WATER-SURFACE-ICE-HISTORICAL-OBSERVATION edge orientation code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION formation type code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION navigation effect code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION quality code,"{""WG1"":""An indicator of the occurrence of the following data"",""item"":""OCEAN-ICE-OBSERVATION edge bearing code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION edge distance dimension WATER-SURFACE-ICE-HISTORICAL-OBSERVATION edge orientation code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION formation type code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION navigation effect code WATER-SURFACE-ICE-HISTORICAL-OBSERVATION quality code""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,edge bearing code,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The code that denotes the true bearing, measured from the reporting platform to the closest point of the principle ice edge.","A specific domain composed of the following qualitative data values: 00: Ship in shore or flaw lead 01: Principal ice edge towards NE 02: Principal ice edge towards E 03: Principal ice edge towards SE 04: Principal ice edge towards S 05: Principal ice edge towards SW 06: Principal ice edge towards W 07: Principal ice edge towards NW 08: Principal ice edge towards N 09: Not determined (ship in ice) 10: Unable to report, because of darkness, lack of visibility or because only ice of land origin is visible 99: Missing COM: 1. If more than one ice edge can be stated, the nearest or most important shall be reported 2. The bearing shall refer to the true and not to the magnetic north","{""values"":null,""00"":""Ship in shore or flaw lead"",""01"":""Principal ice edge towards NE"",""02"":""Principal ice edge towards E"",""03"":""Principal ice edge towards SE"",""04"":""Principal ice edge towards S"",""05"":""Principal ice edge towards SW"",""06"":""Principal ice edge towards W"",""07"":""Principal ice edge towards NW"",""08"":""Principal ice edge towards N"",""09"":""Not determined (ship in ice)"",""10"":""Unable to report, because of darkness, lack of visibility or because only ice of land origin is visible"",""99"":""Missing"",""COM"":""1. If more than one ice edge can be stated, the nearest or most important shall be reported 2. The bearing shall refer to the true and not to the magnetic north""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,edge distance dimension,2,00,0,98,98,Kilometers,NA,NA,99,99,The distance from the reporting ship=s location to the nearest point on the ice edge.,A general domain comprised of the ASCII characters 0-9 99 = Missing,"{""99"":""Missing""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,edge orientation code,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the orientation of the principal ice edge and the direction relative to which the ice lies.,A specific domain comprised of the ASCII characters 00: Orientation of ice edge impossible to estimate--ship outside the ice 01: Ice edge lying in a direction NE to SW with ice situated to the NW 02: Ice edge lying in a direction E to W with ice situated to the N 03: Ice edge lying in a direction SE to NW with ice situated to the NE 04: Ice edge lying in a direction S to N with ice situated to the E 05: Ice edge lying in a direction SW to NE with ice situated to the SE 118 06: Ice edge lying in a direction W to E with ice situated to the S 07: Ice edge lying in a direction NW to SE with ice situated to the SW 08: Ice edge lying in a direction N to S with ice situated to the W 09: Orientation of ice edge impossible to estimate--ship inside the ice 99: Missing,"{""00"":""Orientation of ice edge impossible to estimate--ship outside the ice"",""01"":""Ice edge lying in a direction NE to SW with ice situated to the NW"",""02"":""Ice edge lying in a direction E to W with ice situated to the N"",""03"":""Ice edge lying in a direction SE to NW with ice situated to the NE"",""04"":""Ice edge lying in a direction S to N with ice situated to the E"",""05"":""Ice edge lying in a direction SW to NE with ice situated to the SE 118"",""06"":""Ice edge lying in a direction W to E with ice situated to the S"",""07"":""Ice edge lying in a direction NW to SE with ice situated to the SW"",""08"":""Ice edge lying in a direction N to S with ice situated to the W"",""09"":""Orientation of ice edge impossible to estimate--ship inside the ice"",""99"":""Missing""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,formation type code,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the type of ice formation reported in the WATER-SURFACE-ICE-HISTORICAL-OBSERVATION.,A specific domain comprised of the ASCII characters 00: No ice (0 may be used to report ice blink and then a direction must be reported) 01: New ice 02: Fast ice 03: Pack-ice/drift-ice 04: Packed (compact) slush or sludge 05: Shore lead 06: Heavy fast ice 07: Heavy pack-ice/drift-ice 08: Hummocked ice 09: Icebergs-icebergs can be reported in plain language 99: Missing,"{""00"":""No ice (0 may be used to report ice blink and then a direction must be reported)"",""01"":""New ice"",""02"":""Fast ice"",""03"":""Pack-ice/drift-ice"",""04"":""Packed (compact) slush or sludge"",""05"":""Shore lead"",""06"":""Heavy fast ice"",""07"":""Heavy pack-ice/drift-ice"",""08"":""Hummocked ice"",""09"":""Icebergs-icebergs can be reported in plain language"",""99"":""Missing""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,navigation effect code,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the effect of ice on navigation.,"A specific domain comprised of the ASCII characters 00: Navigation unobstructed 01: Navigation unobstructed for steamers, difficult for sailing ships 02: Navigation difficult for low-powered steamers, closed to sailing ships 03: Navigation possible only for powerful steamers 04: Navigation possible only for steamers constructed to withstand ice pressure 05: Navigation possible with the assistance of ice-breakers 06: Channel open in the solid ice 07: Navigation temporarily closed 08: Navigation closed 09: Navigation conditions unknown, e.g., owing to bad weather 99: Missing","{""00"":""Navigation unobstructed"",""01"":""Navigation unobstructed for steamers, difficult for sailing ships"",""02"":""Navigation difficult for low-powered steamers, closed to sailing ships"",""03"":""Navigation possible only for powerful steamers"",""04"":""Navigation possible only for steamers constructed to withstand ice pressure"",""05"":""Navigation possible with the assistance of ice-breakers"",""06"":""Channel open in the solid ice"",""07"":""Navigation temporarily closed"",""08"":""Navigation closed"",""09"":""Navigation conditions unknown, e.g., owing to bad weather"",""99"":""Missing""}"
NA,additional-data section,marine data,WG1,water surface ice historical observation,quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported WATER-SURFACE-ICE-HISTORICAL-OBSERVATION.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is present,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is present""}"
NA,additional-data section,marine data,WJ1,water level observation,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the availability of a WATER-LEVEL-OBSERVATION.,A specific domain comprised of the characters in the ASCII character set. WJ1: An indicator of the occurrence of the following data item: WATER-LEVEL-OBSERVATION ice thickness WATER-LEVEL-OBSERVATION discharge rate WATER-LEVEL-OBSERVATION primary ice phenomena WATER-LEVEL-OBSERVATION secondary ice phenomena WATER-LEVEL-OBSERVATION stage height WATER-LEVEL-OBSERVATION under ice slush condition WATER-LEVEL-OBSERVATION water level code 119,"{""WJ1"":""An indicator of the occurrence of the following data"",""item"":""WATER-LEVEL-OBSERVATION ice thickness WATER-LEVEL-OBSERVATION discharge rate WATER-LEVEL-OBSERVATION primary ice phenomena WATER-LEVEL-OBSERVATION secondary ice phenomena WATER-LEVEL-OBSERVATION stage height WATER-LEVEL-OBSERVATION under ice slush condition WATER-LEVEL-OBSERVATION water level code 119""}"
NA,additional-data section,marine data,WJ1,water level observation,ice thickness,3,000,0,998,998,centimeters,NA,NA,999,999,Thickness of ice on water.,A general domain comprised of the ASCII characters 0-9 999 = Missing,"{""999"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,discharge rate,5,00000,0,99998,99998,cubic meters per second,NA,NA,99999,99999,The rate of water discharge.,A general domain comprised of the ASCII characters 0-9 99999 = Missing,"{""99999"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,primary ice phenomena,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The code that denotes the primary type of ice phenomena on a river, lake or reservoir.","A specific domain comprised of the ASCII characters 00: Water surface free of ice 01: Ice along banks 02: Ice crystals 03: Ice slush 04: Ice flows from tributaries entering near the river, lake or reservoir station 10: Floating slush ice covering approximately 1/3 (up to 30%) of the water surface 11: Floating slush ice covering about half (40% - 60%) of the water surface 12: Floating slush ice covering more than half (70% - 100%) of the water surface 20: Floating ice covering 10% of the water surface 21: Floating ice covering 20% of the water surface 22: Floating ice covering 30% of the water surface 23: Floating ice covering 40% of the water surface 24: Floating ice covering 50% of the water surface 25: Floating ice covering 60% of the water surface 26: Floating ice covering 70% of the water surface 27: Floating ice covering 80% of the water surface 28: Floating ice covering 90% of the water surface 29: Floating ice covering 100% of the water surface 30: Water surface frozen at station, free upstream 31: Water surface frozen at station, free downstream 32: Water surface free at station, free upstream 33: Water surface free at station, free downstream 34: Ice floes near the station, water surface frozen downstream 35: Water surface frozen with breaks 36: Water surface completely frozen over 37: Water surface frozen over with pile-ups 40: Ice melting along the banks 41: Some water on the ice 42: Ice waterlogged 43: Water holes in the ice cover 44: Ice moving 45: Open water in breaks 46: Break up (first day of movement of ice on the entire water surface) 47: Ice broken artificially 50: Ice jam below the station 51: Ice jam at the station 52: Ice jam above the station 53: Scale and position of jam unchanged 54: Jam has frozen solid in the same place 55: Jam has solidified and expanded upstream 56: Jam has solidified and moved downstream 120 57: Jam is weakening 58: Jam broken up by explosives or other methods 59: Jam broken 60: Fractured ice 61: Ice piling up againgst the bank 62: Ice carried towards the bank 63: Band of ice less than 100 meters wide fixed to banks 64: Band of ice less than 100 to 500 meters wide fixed to banks 65: Band of ice wider than 500 meters fixed to banks 70: Cracks in the ice, mainly across the line of flow 71: Cracks along the flow line 72: Smooth sheet of ice 73: Ice sheet with pile-ups 99: Missing","{""00"":""Water surface free of ice"",""01"":""Ice along banks"",""02"":""Ice crystals"",""03"":""Ice slush"",""04"":""Ice flows from tributaries entering near the river, lake or reservoir station"",""10"":""Floating slush ice covering approximately 1/3 (up to 30%) of the water surface"",""11"":""Floating slush ice covering about half (40% - 60%) of the water surface"",""12"":""Floating slush ice covering more than half (70% - 100%) of the water surface"",""20"":""Floating ice covering 10% of the water surface"",""21"":""Floating ice covering 20% of the water surface"",""22"":""Floating ice covering 30% of the water surface"",""23"":""Floating ice covering 40% of the water surface"",""24"":""Floating ice covering 50% of the water surface"",""25"":""Floating ice covering 60% of the water surface"",""26"":""Floating ice covering 70% of the water surface"",""27"":""Floating ice covering 80% of the water surface"",""28"":""Floating ice covering 90% of the water surface"",""29"":""Floating ice covering 100% of the water surface"",""30"":""Water surface frozen at station, free upstream"",""31"":""Water surface frozen at station, free downstream"",""32"":""Water surface free at station, free upstream"",""33"":""Water surface free at station, free downstream"",""34"":""Ice floes near the station, water surface frozen downstream"",""35"":""Water surface frozen with breaks"",""36"":""Water surface completely frozen over"",""37"":""Water surface frozen over with pile-ups"",""40"":""Ice melting along the banks"",""41"":""Some water on the ice"",""42"":""Ice waterlogged"",""43"":""Water holes in the ice cover"",""44"":""Ice moving"",""45"":""Open water in breaks"",""46"":""Break up (first day of movement of ice on the entire water surface)"",""47"":""Ice broken artificially"",""50"":""Ice jam below the station"",""51"":""Ice jam at the station"",""52"":""Ice jam above the station"",""53"":""Scale and position of jam unchanged"",""54"":""Jam has frozen solid in the same place"",""55"":""Jam has solidified and expanded upstream"",""56"":""Jam has solidified and moved downstream 120"",""57"":""Jam is weakening"",""58"":""Jam broken up by explosives or other methods"",""59"":""Jam broken"",""60"":""Fractured ice"",""61"":""Ice piling up againgst the bank"",""62"":""Ice carried towards the bank"",""63"":""Band of ice less than 100 meters wide fixed to banks"",""64"":""Band of ice less than 100 to 500 meters wide fixed to banks"",""65"":""Band of ice wider than 500 meters fixed to banks"",""70"":""Cracks in the ice, mainly across the line of flow"",""71"":""Cracks along the flow line"",""72"":""Smooth sheet of ice"",""73"":""Ice sheet with pile-ups"",""99"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,secondary ice phenomena,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The code that denotes the secondary type of ice phenomena on a river, lake or reservoir.","A specific domain comprised of the ASCII characters 00: Water surface free of ice 01: Ice along banks 02: Ice crystals 03: Ice slush 04: Ice flows from tributaries entering near the river, lake or reservoir station 10: Floating slush ice covering approximately 1/3 (up to 30%) of the water surface 11: Floating slush ice covering about half (40% - 60%) of the water surface 12: Floating slush ice covering more than half (70% - 100%) of the water surface 20: Floating ice covering 10% of the water surface 21: Floating ice covering 20% of the water surface 22: Floating ice covering 30% of the water surface 23: Floating ice covering 40% of the water surface 24: Floating ice covering 50% of the water surface 25: Floating ice covering 60% of the water surface 26: Floating ice covering 70% of the water surface 27: Floating ice covering 80% of the water surface 28: Floating ice covering 90% of the water surface 29: Floating ice covering 100% of the water surface 30: Water surface frozen at station, free upstream 31: Water surface frozen at station, free downstream 32: Water surface free at station, free upstream 33: Water surface free at station, free downstream 34: Ice floes near the station, water surface frozen downstream 35: Water surface frozen with breaks 36: Water surface completely frozen over 37: Water surface frozen over with pile-ups 40: Ice melting along the banks 41: Some water on the ice 42: Ice waterlogged 43: Water holes in the ice cover 44: Ice moving 45: Open water in breaks 46: Break up (first day of movement of ice on the entire water surface) 47: Ice broken artificially 50: Ice jam below the station 51: Ice jam at the station 52: Ice jam above the station 53: Scale and position of jam unchanged 54: Jam has frozen solid in the same place 55: Jam has solidified and expanded upstream 56: Jam has solidified and moved downstream 57: Jam is weakening 58: Jam broken up by explosives or other methods 59: Jam broken 60: Fractured ice 121 61: Ice piling up againgst the bank 62: Ice carried towards the bank 63: Band of ice less than 100 meters wide fixed to banks 64: Band of ice less than 100 to 500 meters wide fixed to banks 65: Band of ice wider than 500 meters fixed to banks 70: Cracks in the ice, mainly across the line of flow 71: Cracks along the flow line 72: Smooth sheet of ice 73: Ice sheet with pile-ups 99: Missing","{""00"":""Water surface free of ice"",""01"":""Ice along banks"",""02"":""Ice crystals"",""03"":""Ice slush"",""04"":""Ice flows from tributaries entering near the river, lake or reservoir station"",""10"":""Floating slush ice covering approximately 1/3 (up to 30%) of the water surface"",""11"":""Floating slush ice covering about half (40% - 60%) of the water surface"",""12"":""Floating slush ice covering more than half (70% - 100%) of the water surface"",""20"":""Floating ice covering 10% of the water surface"",""21"":""Floating ice covering 20% of the water surface"",""22"":""Floating ice covering 30% of the water surface"",""23"":""Floating ice covering 40% of the water surface"",""24"":""Floating ice covering 50% of the water surface"",""25"":""Floating ice covering 60% of the water surface"",""26"":""Floating ice covering 70% of the water surface"",""27"":""Floating ice covering 80% of the water surface"",""28"":""Floating ice covering 90% of the water surface"",""29"":""Floating ice covering 100% of the water surface"",""30"":""Water surface frozen at station, free upstream"",""31"":""Water surface frozen at station, free downstream"",""32"":""Water surface free at station, free upstream"",""33"":""Water surface free at station, free downstream"",""34"":""Ice floes near the station, water surface frozen downstream"",""35"":""Water surface frozen with breaks"",""36"":""Water surface completely frozen over"",""37"":""Water surface frozen over with pile-ups"",""40"":""Ice melting along the banks"",""41"":""Some water on the ice"",""42"":""Ice waterlogged"",""43"":""Water holes in the ice cover"",""44"":""Ice moving"",""45"":""Open water in breaks"",""46"":""Break up (first day of movement of ice on the entire water surface)"",""47"":""Ice broken artificially"",""50"":""Ice jam below the station"",""51"":""Ice jam at the station"",""52"":""Ice jam above the station"",""53"":""Scale and position of jam unchanged"",""54"":""Jam has frozen solid in the same place"",""55"":""Jam has solidified and expanded upstream"",""56"":""Jam has solidified and moved downstream"",""57"":""Jam is weakening"",""58"":""Jam broken up by explosives or other methods"",""59"":""Jam broken"",""60"":""Fractured ice 121"",""61"":""Ice piling up againgst the bank"",""62"":""Ice carried towards the bank"",""63"":""Band of ice less than 100 meters wide fixed to banks"",""64"":""Band of ice less than 100 to 500 meters wide fixed to banks"",""65"":""Band of ice wider than 500 meters fixed to banks"",""70"":""Cracks in the ice, mainly across the line of flow"",""71"":""Cracks along the flow line"",""72"":""Smooth sheet of ice"",""73"":""Ice sheet with pile-ups"",""99"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,stage height,5,-999,-999,+9998,9998,centimeters,NA,NA,9999,9999,The height of the stage above zero.,A general domain comprised of the ASCII characters 0-9 +9999 = Missing,"{""9999"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,under ice slush condition,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the slush condition under an ice layer.,"A specific domain comprised of the ASCII characters 0: No slush ice 1: Slush ice to approximately 1/3 of depth of the river, lake or reservoir 2: Slush ice from 1/3 to 2/3 of depth of the river, lake or reservoir 3: Slush ice to depth of the river, lake or reservoir greater than 2/3. 9: Missing","{""0"":""No slush ice"",""1"":""Slush ice to approximately 1/3 of depth of the river, lake or reservoir"",""2"":""Slush ice from 1/3 to 2/3 of depth of the river, lake or reservoir"",""3"":""Slush ice to depth of the river, lake or reservoir greater than 2/3."",""9"":""Missing""}"
NA,additional-data section,marine data,WJ1,water level observation,water level code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes the state of the water level.,A specific domain comprised of the ASCII characters B: much below normal H: high but not overflowing N: normal O: banks overflowing 9: missing 122 Remarks Data SectionFLD LEN 3 GEOPHYSICAL-POINT-OBSERVATION remarks identifier The identifier that denotes the beginning of the remarks data section. DOM: A specific domain comprised of the ASCII character set. REM = Remarks Data Section,"{""B"":""much below normal"",""H"":""high but not overflowing"",""N"":""normal"",""O"":""banks overflowing"",""9"":""missing 122 Remarks Data SectionFLD LEN 3 GEOPHYSICAL-POINT-OBSERVATION remarks identifier The identifier that denotes the beginning of the remarks data section."",""DOM"":""A specific domain comprised of the ASCII character set."",""REM"":""Remarks Data Section""}"
NA,remarks data section,NA,REM,geophysical point observation,remarks identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the beginning of the remarks data section,A specific domain composed of the following qualitative data values. Domain Value ID: Domain Value Definition Text SYN: Synoptic Remarks AWY: Airways Remarks MET: METAR Remarks SOD: Summary of Day Remarks SOM: Summary of Month Remarks HPD: Hourly Precipitation Data Remarks Indicate the occurrence of the following data items: GEOPHYSICAL-POINT-OBSERVATION remark length quantity GEOPHYSICAL-POINT-OBSERVATION remark text,"{""ID"":""Domain Value Definition Text"",""SYN"":""Synoptic Remarks"",""AWY"":""Airways Remarks"",""MET"":""METAR Remarks"",""SOD"":""Summary of Day Remarks"",""SOM"":""Summary of Month Remarks"",""HPD"":""Hourly Precipitation Data Remarks Indicate the occurrence of the following data"",""items"":""GEOPHYSICAL-POINT-OBSERVATION remark length quantity GEOPHYSICAL-POINT-OBSERVATION remark text""}"
NA,remarks data section,NA,REM,geophysical point observation,remark identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,An indicator of the type of surface remarks data contained in the GEOPHYSICAL-POINT- OBSERVATION-REMARK text,A general domain composed of the ASCII characters (0-9).,"{""A general domain composed of the ASCII characters (0-9)."":null}"
NA,remarks data section,NA,REM,geophysical point observation,remark length quantity,3,001,1,999,999,NA,NA,NA,NA,NA,A quantity that indicates the length of an individual GEOPHYSICAL-POINT-OBSERVATION-REMARK text.,A general domain comprised of the characters in the ASCII character set. 123 Element Quality Data Section,"{""A general domain comprised of the characters in the ASCII character set. 123 Element Quality Data Section"":null}"
NA,remarks data section,NA,REM,geophysical point observation,remark text,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,The text of a GEOPHYSICAL-POINT-OBSERVATION-REMARK.,A specific domain comprised of the ASCII character set. EQD = Element Quality Data,"{""EQD"":""Element Quality Data""}"
NA,element quality data section,NA,EQD,geophysical point observation,quality data identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the beginning of the element quality data section.,"A specific domain comprised of the ASCII character set. Q01 - Q99: The following may be occur from 0 to 99 times, for AFCCC USAF SURFACE HOURLY and for ISH Version2, and P01 - P99: The following may be occur from 0 to 99 times, for ISH Version 2 (P denotes data originated from historical NCEI HOURLY PRECIPITATION or NCEI SURFACE HOURLY data), and R01  R99: The following may be occur from 0 to 99 times, for ISH Version 2 and 3 (R denotes data originated from an NCEI data source from 2006 forward) C01  C99: The original value failed due to a table constraint D01  D99: The original value was replaced using a temporary quality control process after the data was originally loaded to the table ORIGINAL-OBSERVATION-ELEMENT-QUALITY original value text ORIGINAL-OBSERVATION-ELEMENT-QUALITY reason code ORIGINAL-OBSERVATION-ELEMENT-QUALITY parameter code","{""Q99"":""The following may be occur from 0 to 99 times, for AFCCC USAF SURFACE HOURLY and for ISH Version2, and P01 -"",""P99"":""The following may be occur from 0 to 99 times, for ISH Version 2 (P denotes data originated from historical NCEI HOURLY PRECIPITATION or NCEI SURFACE HOURLY data), and R01"",""R99"":""The following may be occur from 0 to 99 times, for ISH Version 2 and 3 (R denotes data originated from an NCEI data source from 2006 forward) C01"",""C99"":""The original value failed due to a table constraint D01"",""D99"":""The original value was replaced using a temporary quality control process after the data was originally loaded to the table ORIGINAL-OBSERVATION-ELEMENT-QUALITY original value text ORIGINAL-OBSERVATION-ELEMENT-QUALITY reason code ORIGINAL-OBSERVATION-ELEMENT-QUALITY parameter code""}"
NA,element quality data section,NA,EQD,original observation element quality,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the existence of ORIGINAL-OBSERVATION-ELEMENT-QUALITY data.,"A specific domain comprised of the ASCII character set. Q01 - Q99: The following may be occur from 0 to 99 times, for AFCCC USAF SURFACE HOURLY and for ISH Version2, and P01 - P99: The following may be occur from 0 to 99 times, for ISH Version 2 (P denotes data originated from historical NCEI HOURLY PRECIPITATION or NCEI SURFACE HOURLY data), and R01  R99: The following may be occur from 0 to 99 times, for ISH Version 2 and 3 (R denotes data originated from an NCEI data source from 2006 forward) C01  C99: The original value failed due to a table constraint D01  D99: The original value was replaced using a temporary quality control process after the data was originally loaded to the table ORIGINAL-OBSERVATION-ELEMENT-QUALITY original value text ORIGINAL-OBSERVATION-ELEMENT-QUALITY reason code ORIGINAL-OBSERVATION-ELEMENT-QUALITY parameter code","{""Q99"":""The following may be occur from 0 to 99 times, for AFCCC USAF SURFACE HOURLY and for ISH Version2, and P01 -"",""P99"":""The following may be occur from 0 to 99 times, for ISH Version 2 (P denotes data originated from historical NCEI HOURLY PRECIPITATION or NCEI SURFACE HOURLY data), and R01"",""R99"":""The following may be occur from 0 to 99 times, for ISH Version 2 and 3 (R denotes data originated from an NCEI data source from 2006 forward) C01"",""C99"":""The original value failed due to a table constraint D01"",""D99"":""The original value was replaced using a temporary quality control process after the data was originally loaded to the table ORIGINAL-OBSERVATION-ELEMENT-QUALITY original value text ORIGINAL-OBSERVATION-ELEMENT-QUALITY reason code ORIGINAL-OBSERVATION-ELEMENT-QUALITY parameter code""}"
NA,element quality data section,NA,EQD,original observation element quality,original value text,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,The original value text for elements which were rejected or recomputed during validation.,A general domain comprised of the characters in the ASCII character set,"{""A general domain comprised of the characters in the ASCII character set"":null}"
NA,element quality data section,NA,EQD,original observation element quality,reason code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The code that denotes the reason an element was identified as suspect, erroneous or recomputed, or in the case of data originating from NCEI SURFACE HOURLY, the units code for the data are stored in this position,",A specific domain comprised of the characters in the ASCII character set. 0 = Original value missing or corrupted 1 = Gross error checks (range and/or domain check) 2 = Geophysical checks (checking the validity against other parameters) 3 = Consistency checks (checking the validity against the same type of parameter) 4 = Gross error checks and geophysical checks 5 = Gross error checks and consistency checks 6 = Geophysical checks and consistency checks 7 = Gross error checks and geophysical checks and consistency checks,"{""0"":""Original value missing or corrupted"",""1"":""Gross error checks (range and/or domain check)"",""2"":""Geophysical checks (checking the validity against other parameters)"",""3"":""Consistency checks (checking the validity against the same type of parameter)"",""4"":""Gross error checks and geophysical checks"",""5"":""Gross error checks and consistency checks"",""6"":""Geophysical checks and consistency checks"",""7"":""Gross error checks and geophysical checks and consistency checks""}"
